time,pitch,roll
1487475888927,1.4972489,-90.11757
1487475888935,1.493081,-90.11017
1487475888937,1.4776908,-90.11144
1487475888946,1.4629669,-90.1077
1487475888949,1.4478297,-90.103836
1487475888955,1.4322793,-90.09495
1487475888957,1.4066138,-90.08478
1487475888965,1.390237,-90.07564
1487475888967,1.3843545,-90.0627
1487475888975,1.3671682,-90.05333
1487475888979,1.3423676,-90.03283
1487475888985,1.3172258,-90.01218
1487475888988,1.2820446,-89.99502
1487475888997,1.2562202,-89.97404
1487475889003,1.2300544,-89.96279
1487475889006,1.2119094,-89.95759
1487475889008,1.2017301,-89.96341
1487475889015,1.2008283,-89.97053
1487475889018,1.199503,-89.97758
1487475889030,1.1977575,-89.98951
1487475889032,1.2052758,-90.00281
1487475889037,1.212367,-90.01609
1487475889039,1.2190315,-90.02933
1487475889047,1.2141092,-90.050835
1487475889050,1.2214088,-90.06411
1487475889054,1.2186522,-90.07584
1487475889055,1.2058394,-90.095894
1487475889064,1.1829841,-90.114296
1487475889066,1.1404198,-90.139366
1487475889073,1.0990722,-90.15449
1487475889076,1.0477138,-90.177765
1487475889083,1.0040551,-90.21718
1487475889085,0.9906727,-90.256516
1487475889096,0.98660815,-90.30238
1487475889098,0.99688905,-90.330536
1487475889103,1.0069106,-90.36366
1487475889105,1.005312,-90.39988
1487475889114,0.99377406,-90.43438
1487475889116,0.9705651,-90.47686
1487475889123,0.948801,-90.49956
1487475889127,0.9346435,-90.528625
1487475889134,0.92624813,-90.55889
1487475889136,0.9289191,-90.576126
1487475889146,0.93723255,-90.599594
1487475889148,0.9547441,-90.61981
1487475889152,0.9833052,-90.62216
1487475889166,1.0114465,-90.62455
1487475889167,1.0487863,-90.61883
1487475889172,1.0856962,-90.60819
1487475889174,1.1241062,-90.592896
1487475889182,1.1409765,-90.573586
1487475889184,1.1594081,-90.54955
1487475889195,1.1602689,-90.511925
1487475889197,1.1492223,-90.48194
1487475889202,1.1337931,-90.46619
1487475889203,1.1103987,-90.4536
1487475889213,1.074988,-90.45348
1487475889215,1.039161,-90.45817
1487475889222,0.9837629,-90.47355
1487475889224,0.93541884,-90.5004
1487475889232,0.8770442,-90.52994
1487475889234,0.80863243,-90.56715
1487475889246,0.72583973,-90.62125
1487475889248,0.6447015,-90.670395
1487475889252,0.5512594,-90.721664
1487475889254,0.4595059,-90.76795
1487475889262,0.36950213,-90.8093
1487475889265,0.28863478,-90.8424
1487475889271,0.20229013,-90.85875
1487475889273,0.12516332,-90.86687
1487475889281,0.049979918,-90.865036
1487475889283,-0.0063315853,-90.86234
1487475889295,-0.05337452,-90.85658
1487475889297,-0.09600519,-90.83646
1487475889301,-0.12691185,-90.80374
1487475889302,-0.16767456,-90.763405
1487475889312,-0.20626533,-90.71324
1487475889314,-0.25468493,-90.65538
1487475889321,-0.30087805,-90.58254
1487475889322,-0.34726262,-90.50942
1487475889334,-0.4009866,-90.41377
1487475889336,-0.44526452,-90.32023
1487475889340,-0.47048238,-90.23645
1487475889342,-0.49586767,-90.15758
1487475889351,-0.50929296,-90.08169
1487475889353,-0.52286506,-90.00566
1487475889361,-0.5583427,-89.93393
1487475889363,-0.596539,-89.87666
1487475889371,-0.64006346,-89.827965
1487475889372,-0.6716415,-89.77719
1487475889381,-0.7086331,-89.74013
1487475889383,-0.7432889,-89.69844
1487475889395,-0.78780174,-89.65386
1487475889397,-0.82559353,-89.621216
1487475889400,-0.86795896,-89.57174
1487475889402,-0.9036032,-89.52907
1487475889413,-0.958713,-89.48068
1487475889415,-1.0017631,-89.43041
1487475889420,-1.0573528,-89.376205
1487475889422,-1.1104636,-89.31736
1487475889431,-1.1706666,-89.2563
1487475889433,-1.2242064,-89.202034
1487475889440,-1.277966,-89.147446
1487475889443,-1.3223327,-89.095406
1487475889450,-1.3641245,-89.03359
1487475889453,-1.3964988,-88.979645
1487475889462,-1.4386779,-88.922554
1487475889464,-1.4742677,-88.87235
1487475889470,-1.4976212,-88.82064
1487475889472,-1.5115596,-88.771706
1487475889480,-1.510357,-88.717186
1487475889482,-1.4833926,-88.67051
1487475889489,-1.4412605,-88.61318
1487475889492,-1.3926215,-88.56837
1487475889500,-1.3317131,-88.5172
1487475889502,-1.2805792,-88.46831
1487475889512,-1.2458291,-88.40913
1487475889514,-1.223718,-88.3563
1487475889519,-1.2142663,-88.293915
1487475889521,-1.2240767,-88.23046
1487475889530,-1.2274686,-88.17942
1487475889532,-1.2215011,-88.12613
1487475889539,-1.2187206,-88.082146
1487475889541,-1.2096344,-88.045364
1487475889549,-1.1882478,-88.00759
1487475889554,-1.1701337,-87.97917
1487475889562,-1.1617924,-87.94743
1487475889564,-1.1411269,-87.9254
1487475889569,-1.1332774,-87.90413
1487475889571,-1.1161782,-87.88606
1487475889579,-1.0962337,-87.86387
1487475889581,-1.0828885,-87.839554
1487475889589,-1.0697415,-87.815186
1487475889590,-1.059935,-87.805466
1487475889599,-1.0471979,-87.7863
1487475889601,-1.0251911,-87.770454
1487475889612,-0.9907581,-87.75394
1487475889615,-0.9597138,-87.74679
1487475889618,-0.92568797,-87.73563
1487475889620,-0.88242704,-87.72788
1487475889629,-0.8488084,-87.716736
1487475889631,-0.8248114,-87.696785
1487475889638,-0.81041527,-87.678696
1487475889639,-0.7867874,-87.65869
1487475889648,-0.76334405,-87.63865
1487475889650,-0.73396486,-87.62607
1487475889661,-0.73628396,-87.61224
1487475889663,-0.72611976,-87.60324
1487475889668,-0.7415607,-87.6111
1487475889669,-0.75390047,-87.62023
1487475889679,-0.7664486,-87.64538
1487475889682,-0.7852197,-87.66829
1487475889687,-0.7947931,-87.70008
1487475889698,-0.79778844,-87.729324
1487475889700,-0.8009204,-87.76391
1487475889711,-0.80418897,-87.803825
1487475889717,-0.83227074,-87.839714
1487475889719,-0.87323594,-87.875824
1487475889720,-0.9296227,-87.91147
1487475889730,-0.99892133,-87.952675
1487475889732,-1.0649048,-87.99528
1487475889738,-1.1250864,-88.04531
1487475889740,-1.1947685,-88.08621
1487475889749,-1.2645859,-88.1324
1487475889751,-1.3251543,-88.16595
1487475889763,-1.3858507,-88.19397
1487475889767,-1.4372908,-88.21474
1487475889770,-1.5205342,-88.22813
1487475889772,-1.6262542,-88.232315
1487475889781,-1.7451202,-88.23631
1487475889783,-1.896007,-88.238014
1487475889787,-2.0637782,-88.243095
1487475889789,-2.2355416,-88.25141
1487475889797,-2.4041262,-88.26091
1487475889799,-2.5861866,-88.269844
